date,irp,price_return
2014-01-07,98.7222538235945,-127.35448805230365
2014-01-08,98.7180159995038,-0.4292673563011107
2014-01-09,98.764145115505,4.672816358204379
2014-01-10,98.4624130200486,-30.55077276308382
2014-01-13,97.9915375695469,-47.82286316767581
2014-01-14,97.9449275222169,-4.7565380119607426
2014-01-15,97.9422187432457,-0.2765614350552781
2014-01-16,98.0234625721901,8.295077443301047
2014-01-17,98.0194246087874,-0.41193845807252494
2014-01-20,98.2695939266915,25.522422611901074
2014-01-22,98.2687420990066,-0.08668273174472496
2014-01-23,98.2643428614941,-0.4476741452608124
2014-01-24,98.267980667126,0.3702060712940103
2014-01-27,98.8626175880279,60.51176760375032
2014-01-28,98.8617363913274,-0.0891334583286163
2014-01-29,98.8572179017319,-0.4570514094159872
2014-01-30,99.2915923237461,43.93957580780761
2014-01-31,99.1192493908669,-17.357253403417204
2014-02-03,99.1040735967148,-1.5310642731214408
2014-02-04,99.0994578273787,-0.46574970821944284
2014-02-05,99.3840783070962,28.720689896537532
2014-02-06,99.3384797526657,-4.588114636390195
2014-02-07,99.3333990300183,-0.5114556474039578
2014-02-10,99.3150979716149,-1.8423872113615403
2014-02-11,99.4924282521951,17.855319503472522
2014-02-12,99.4419203333444,-5.076559064642883
2014-02-13,99.461030881704,1.9217798988147017
2014-02-14,99.4831483990325,2.223736988489211
2014-02-17,99.6431889616979,16.087203234005365
2014-02-18,99.5173478349404,-12.62917496607563
2014-02-19,99.5123366613982,-0.503547738280874
2014-02-20,99.6603886655159,14.877753762476686
2014-02-21,99.8822440480626,22.261139607964164
2014-02-24,100.002162174903,12.005950405229449
2014-02-25,99.9819895977859,-2.017214096013964
2014-02-26,99.9933633257324,1.137577676966206
2014-02-28,99.5608798989959,-43.2512131157814
2014-03-03,99.6869700211672,12.664625131799667
2014-03-04,99.7004858492303,1.3558269511282361
2014-03-05,99.598450981375,-10.234139481487547
2014-03-06,99.5046446909577,-9.418448730175166
2014-03-07,99.5345701659511,3.007445038001322
2014-03-10,99.5438261072074,0.9299222612679792
2014-03-11,99.5782314200813,3.456298016599746
2014-03-12,99.5598066232497,-1.850283598014979
2014-03-13,99.5697734476202,1.0010891652512122
2014-03-14,99.600413244079,3.0772186576188965
2014-03-17,99.5831418380975,-1.7340697110523884
2014-03-18,99.5771621991244,-0.6004669929804418
2014-03-19,99.5723105727159,-0.48722280303503673
2014-03-20,99.7448270206155,17.325745170251317
2014-03-21,99.7639716755798,1.9193631926728294
2014-03-24,99.7769036305398,1.2962550250161797
2014-03-25,99.7725156232703,-0.43978186432425126
2014-03-26,99.8646213024222,9.231568290779535
2014-03-27,99.859516452221,-0.511177044945077
2014-03-28,99.7301503073739,-12.954813866837833
2014-03-31,99.8132757259919,8.335033925226387
2014-04-01,99.8085884215535,-0.46960731468925765
2014-04-02,99.4365592851677,-37.27426088970254
2014-04-03,99.2643937518042,-17.314108070629608
2014-04-04,99.3323555620966,6.846544639391716
2014-04-07,99.2660997482943,-6.670114025523199
2014-04-08,99.2128385243328,-5.365499812781671
2014-04-09,99.2087445593056,-0.4126446826935304
2014-04-10,99.0667912986305,-14.308543194015977
2014-04-11,98.9941821503497,-7.329312611118466
2014-04-14,99.0526890121964,5.910131340631786
2014-04-15,99.0482417082652,-0.448983664709246
2014-04-16,99.0443665701218,-0.3912374492032189
2014-04-17,99.039846801162,-0.4563378126709594
2014-04-21,98.8669383015728,-17.458478094816154
2014-04-22,98.8625174122015,-0.44715548465967814
2014-04-23,98.858107628399,-0.44605214574056085
2014-04-24,99.0798189413605,22.42722607991965
2014-04-25,98.9430566609301,-13.803242869402377
2014-04-28,98.8996302472571,-4.389030937443916
2014-04-29,98.9918382618494,9.323393258577894
2014-04-30,98.9860591611921,-0.5837956703058644
2014-05-01,98.6942100484395,-29.483860174425168
2014-05-02,98.690675957223,-0.35808495906453075
2014-05-06,98.7165978097649,2.6265756405541296
2014-05-07,98.6885327187265,-2.842996179069912
2014-05-08,98.6850576514453,-0.35212472872636624
2014-05-09,98.6815938065449,-0.35099993685450137
2014-05-12,98.671269677298,-1.0462061716531856
2014-05-13,98.6678506871977,-0.34650310181238986
2014-05-14,98.9336756329568,26.941394173249922
2014-05-15,98.9340163331929,0.03443723625151662
2014-05-16,98.9487029315885,1.4844841986549895
2014-05-19,98.9601260064236,1.1544441207078648
2014-05-20,98.8387423240251,-12.265918334684045
2014-05-21,98.8353470080176,-0.34352076196730863
2014-05-22,99.0294951654591,19.643595466483088
2014-05-23,99.0261234278888,-0.34047811358184354
2014-05-26,99.0158801642408,-1.0344001454798413
2014-05-27,99.0127310213578,-0.31804422460091075
2014-05-28,99.2643898359738,25.41681377940419
2014-05-29,99.5374882466164,27.512223778727307
2014-05-30,99.5339462629627,-0.35584418655698613
2014-06-02,99.5688996935825,3.511709515409134
2014-06-03,99.5434536163056,-2.5556250350466936
2014-06-04,99.3074041590208,-23.713207519868718
2014-06-05,100.132084754696,83.04321340981025
2014-06-06,100.095736053604,-3.6300753331008906
2014-06-09,100.007467278585,-8.818435080164555
2014-06-10,100.456743518259,44.92426934705529
2014-06-11,100.345440804338,-11.079665737001587
2014-06-12,100.418668010233,7.297512005333129
2014-06-13,101.246753123001,82.46326397036042
2014-06-16,102.20118893114,94.26828798939191
2014-06-17,102.090018283108,-10.877627667023049
2014-06-18,102.401330229852,30.49386727316472
2014-06-20,102.379157888258,-2.165239606186642
2014-06-23,102.450595361696,6.977735987627742
2014-06-24,102.294472439462,-15.238849679967137
2014-06-25,102.282182698227,-1.2014081447331293
